"IN","STR","UNIT","RXNORM_CUI","VA_CLS","VA_CLS_CD"
"simvastatin",40,"MG",152923,"ANTILIPEMIC AGENTS","CV350"
"ezetimibe",10,"MG",352304,"ANTILIPEMIC AGENTS","CV350"
"bupivacaine",2.5,"MG",108776,"LOCAL ANESTHETICS,INJECTION","CN204"
"lidocaine",20,"MG",1010740,"LOCAL ANESTHETICS,INJECTION","CN204"
"aluminum hydroxide",40,"MG",210024,"ALUMINUM/MAGNESIUM CONTAINING ANTACIDS","GA103"
"magnesium hydroxide",40,"MG",210024,"MAGNESIUM CONTAINING ANTACIDS","GA108"
"simethicone",4,"MG",210024,"GASTRIC MEDICATIONS,OTHER","GA900"
"diphenhydramine",2.5,"MG",1094218,"ANTIHISTAMINES,ETHANOLAMINE","AH102"
"bortezomib",3.5,"MG",402244,"ANTINEOPLASTIC,OTHER","AN900"
"fluorouracil",50,"MG",213841,"ANTINEOPLASTICS,ANTIMETABOLITES","AN300"
"oxaliplatin",5,"MG",1736782,NA,NA
"bamlanivimab",35,"MG",2463118,NA,NA
"leucovorin",350,"MG",237788,"FOLIC ACID/LEUCOVORIN","VT102"
"diphenhydramine",25,"MG",1490656,"ANTIHISTAMINES,ETHANOLAMINE","AH102"
"fosaprepitant",150,"MG",1731082,"ANTIEMETICS","GA605"
"potassium chloride",2,"MEQ",150995,"IV SOLUTIONS WITH ELECTROLYTES","TN102"
"carboplatin",10,"MG",686161,"ANTINEOPLASTIC,OTHER","AN900"
"paclitaxel",6,"MG",207322,NA,NA
"magnesium sulfate",500,"MG",1658236,"MAGNESIUM","TN460"
"vedolizumab",300,"MG",1538142,"GASTRIC MEDICATIONS,OTHER","GA900"
"oxaliplatin",5,"MG",1736778,NA,NA
"acetaminophen",500,"MG",209440,"NON-OPIOID ANALGESICS","CN103"
"rituximab",10,"MG",2273517,"ANTINEOPLASTIC,OTHER","AN900"
"methotrexate",25,"MG",1655960,"ANTINEOPLASTICS,ANTIMETABOLITES","AN300"
"sulbactam",1000,"MG",1659600,"PENICILLINS,AMINO DERIVATIVES","AM111"
"ampicillin",2000,"MG",1659600,"PENICILLINS,AMINO DERIVATIVES","AM111"
"gentamicin",40,"MG",313996,"AMINOGLYCOSIDES","AM300"
"sotrovimab",62.5,"MG",2550903,NA,NA
"losartan",50,"MG",979494,"ANGIOTENSIN II INHIBITOR","CV805"
"imdevimab",120,"MG",2465255,"ANTIVIRALS","AM800"
"casirivimab",120,"MG",2465246,"ANTIVIRALS","AM800"
"cefoxitin",200,"MG",309072,"CEPHALOSPORIN 2ND GENERATION","AM116"
"rituximab",10,"MG",2105831,"ANTINEOPLASTIC,OTHER","AN900"
"cisplatin",1,"MG",205821,NA,NA
"ropivacaine",5,"MG",1734484,"LOCAL ANESTHETICS,INJECTION","CN204"
"epinephrine",1,"MG",205871,"LOCAL ANESTHETICS,INJECTION","CN204"
"bendamustine",25,"MG",2622914,"ANTINEOPLASTICS,ALKYLATING AGENTS","AN100"
"golimumab",12.5,"MG",1431647,"ANTIRHEUMATICS,OTHER","MS190"
"lisinopril",10,"MG",201381,"ACE INHIBITORS","CV800"
"norepinephrine",1,"MG",209217,"SYMPATHOMIMETICS (ADRENERGICS)","AU100"
"amlodipine",2.5,"MG",212542,"CALCIUM CHANNEL BLOCKERS","CV200"
"bupivacaine",7.5,"MG",1724794,"LOCAL ANESTHETICS,INJECTION","CN204"
"dexamethasone",10,"MG",309696,"GLUCOCORTICOIDS","HS051"
"prednisone",10,"MG",541815,"GLUCOCORTICOIDS","HS051"
"prednisone",50,"MG",207048,"GLUCOCORTICOIDS","HS051"
"diltiazem",5,"MG",1791229,"CALCIUM CHANNEL BLOCKERS","CV200"
"ertapenem",1000,"MG",1734686,"BETA-LACTAMS ANTIMICROBIALS,OTHER","AM119"
"amiodarone",1.8,"MG",1046410,"ANTIARRHYTHMICS","CV300"
"dexmedetomidine",0.1,"MG",1535226,"SEDATIVES/HYPNOTICS,OTHER","CN309"
"epinephrine",1,"MG",616392,"LOCAL ANESTHETICS,INJECTION","CN204"
"penicillin G",1e+05,"UNT",745302,"PENICILLIN-G RELATED PENICILLINS","AM110"
"bupivacaine",5,"MG",106545,"LOCAL ANESTHETICS,INJECTION","CN204"
"amlodipine",5,"MG",212549,"CALCIUM CHANNEL BLOCKERS","CV200"
"valsartan",160,"MG",351762,"ANGIOTENSIN II INHIBITOR","CV805"
"tazobactam",500,"MG",1659151,"EXTENDED SPECTRUM PENICILLINS","AM113"
"piperacillin",4000,"MG",1659151,"EXTENDED SPECTRUM PENICILLINS","AM113"
"dexmedetomidine",0.004,"MG",1718910,"SEDATIVES/HYPNOTICS,OTHER","CN309"
"vasopressin (USP)",20,"UNT",208841,"POSTERIOR PITUITARY","HS702"
"dobutamine",4,"MG",309987,"SYMPATHOMIMETICS (ADRENERGICS)","AU100"
"tranexamic acid",100,"MG",208104,"ANTIHEMORRHAGICS","BL116"
"nicardipine",2.5,"MG",858609,"CALCIUM CHANNEL BLOCKERS","CV200"
"ondansetron",2,"MG",104897,"ANTIEMETICS","GA605"
"vincristine",1,"MG",1863355,"ANTINEOPLASTIC,OTHER","AN900"
"cyclophosphamide",500,"MG",1734917,"ANTINEOPLASTICS,ALKYLATING AGENTS","AN100"
"dalbavancin",500,"MG",1539248,"ANTI-INFECTIVES,OTHER","AM900"
"valsartan",320,"MG",352001,"ANGIOTENSIN II INHIBITOR","CV805"
"cefoxitin",2000,"MG",1665109,"CEPHALOSPORIN 2ND GENERATION","AM116"
"sufentanil",0.05,"MG",1809101,NA,NA
"petrolatum",1,"MG",210868,"EYE WASHES/LUBRICANTS","OP500"
"gabapentin",800,"MG",261281,"ANTICONVULSANTS","CN400"
"gabapentin",800,"MG",261281,"CNS MEDICATIONS,OTHER","CN900"
"amitriptyline",75,"MG",856857,"TRICYCLIC ANTIDEPRESSANTS","CN601"
"desmopressin",0.004,"MG",849503,"POSTERIOR PITUITARY","HS702"
"cefepime",1000,"MG",1665095,NA,NA
"ceftriaxone",500,"MG",1665008,"CEPHALOSPORIN 3RD GENERATION","AM117"
"sodium chloride",0.154,"MEQ",631504,"IRRIGATION SOLUTIONS","IR100"
"erythromycin",40,"MG",686402,"ERYTHROMYCINS/MACROLIDES","AM200"
"nystatin",1e+05,"UNT",150830,"ANTIFUNGAL,TOPICAL","DE102"
"dexamethasone",0.1,"MG",755977,"GLUCOCORTICOIDS","HS051"
"spironolactone",25,"MG",200820,"POTASSIUM SPARING/COMBINATIONS DIURETICS","CV704"
"immunoglobulin G",100,"MG",1809436,"IMMUNOGLOBULINS","IM500"
"diclofenac",75,"MG",855928,"NONSALICYLATE NSAIs,ANTIRHEUMATIC","MS102"
"misoprostol",0.2,"MG",104098,"ANTIULCER AGENTS,OTHER","GA309"
"irbesartan",150,"MG",153666,"ANGIOTENSIN II INHIBITOR","CV805"
"bevacizumab",25,"MG",1657074,"ANTINEOPLASTIC,OTHER","AN900"
"dexamethasone",2,"MG",197581,"GLUCOCORTICOIDS","HS051"
"dexamethasone",6,"MG",205717,"GLUCOCORTICOIDS","HS051"
"clindamycin",150,"MG",706461,"LINCOMYCINS","AM350"
"simvastatin",10,"MG",104490,"ANTILIPEMIC AGENTS","CV350"
"levetiracetam",100,"MG",647123,"ANTICONVULSANTS","CN400"
"cefepime",2000,"MG",1665091,NA,NA
"casirivimab",60,"MG",2557244,"ANTIVIRALS","AM800"
"imdevimab",60,"MG",2557244,"ANTIVIRALS","AM800"
"diphenhydramine",50,"MG",1049634,"ANTIHISTAMINES,ETHANOLAMINE","AH102"
"mepivacaine",15,"MG",1012735,"LOCAL ANESTHETICS,INJECTION","CN204"
"ustekinumab",5,"MG",1811257,"IMMUNE SUPPRESSANTS","IM600"
"atorvastatin",40,"MG",617320,"ANTILIPEMIC AGENTS","CV350"
"ethanol",0.95,"ML",616810,"ANTIBACTERIAL,TOPICAL","DE101"
"ethanol",0.95,"ML",616810,"PHARMACEUTICAL AIDS/REAGENTS","PH000"
"sodium chloride",234,"MG",313016,"PHARMACEUTICAL AIDS/REAGENTS","PH000"
"sodium chloride",234,"MG",313016,"SODIUM","TN440"
"glucose",700,"MG",237656,"IV SOLUTIONS WITHOUT ELECTROLYTES","TN101"
"potassium chloride",20,"MEQ",208954,"IV SOLUTIONS WITH ELECTROLYTES","TN102"
"potassium chloride",10,"MEQ",670032,"IV SOLUTIONS WITH ELECTROLYTES","TN102"
"levothyroxine",0.025,"MG",966152,"THYROID SUPPLEMENTS","HS851"
"levothyroxine",0.1,"MG",966452,"THYROID SUPPLEMENTS","HS851"
"tazobactam",375,"MG",1659139,"EXTENDED SPECTRUM PENICILLINS","AM113"
"piperacillin",3000,"MG",1659139,"EXTENDED SPECTRUM PENICILLINS","AM113"
"tazobactam",250,"MG",1659134,"EXTENDED SPECTRUM PENICILLINS","AM113"
"piperacillin",2000,"MG",1659134,"EXTENDED SPECTRUM PENICILLINS","AM113"
"calcium gluconate",100,"MG",197435,"CALCIUM","TN420"
"calcium chloride",100,"MG",828525,"CALCIUM","TN420"
"heparin",1000,"UNT",1361226,"ANTICOAGULANTS","BL110"
"papaverine",30,"MG",237210,"PERIPHERAL VASODILATORS","CV500"
"levothyroxine",0.075,"MG",966169,"THYROID SUPPLEMENTS","HS851"
"azithromycin",500,"MG",1668240,"ERYTHROMYCINS/MACROLIDES","AM200"
"potassium phosphate",224,"MG",1928570,"PHOSPHORUS","TN475"
"dibasic potassium phosphate",236,"MG",1928570,"PHOSPHORUS","TN475"
"bupivacaine",13.3,"MG",1745062,"LOCAL ANESTHETICS,INJECTION","CN204"
"thiamine",0.6,"MG",1304564,"THIAMINE","VT105"
"vitamin A",330,"UNT",1304564,"VITAMIN A","VT050"
"vitamin B12",5e-04,"MG",1304564,"CYANOCOBALAMIN","VT101"
"ascorbic acid",20,"MG",1304564,"VITAMIN C","VT400"
"biotin",0.006,"MG",1304564,"HERBS/ALTERNATIVE THERAPIES","HA000"
"dexpanthenol",1.5,"MG",1304564,NA,NA
"alpha tocopherol",1,"UNT",1304564,NA,NA
"cholecalciferol",20,"UNT",1304564,"VITAMIN D,OTHER","VT509"
"folic acid",0.06,"MG",1304564,"FOLIC ACID/LEUCOVORIN","VT102"
"pyridoxine",0.6,"MG",1304564,"PYRIDOXINE","VT104"
"niacinamide",4,"MG",1304564,"NICOTINIC ACID","VT103"
"vitamin K1",0.015,"MG",1304564,"PHYTONADIONE","VT702"
"riboflavin",0.36,"MG",1304564,"RIBOFLAVIN","VT106"
"thiamine",100,"MG",313324,"THIAMINE","VT105"
"folic acid",5,"MG",237786,"FOLIC ACID/LEUCOVORIN","VT102"
"pantoprazole",40,"MG",885257,"GASTRIC MEDICATIONS,OTHER","GA900"
"cefazolin",1000,"MG",1665050,"CEPHALOSPORIN 1ST GENERATION","AM115"
"lactate",3.1,"MG",847630,"IV SOLUTIONS WITH ELECTROLYTES","TN102"
"calcium chloride",0.2,"MG",847630,"IV SOLUTIONS WITH ELECTROLYTES","TN102"
"potassium chloride",0.3,"MG",847630,"IV SOLUTIONS WITH ELECTROLYTES","TN102"
"sodium chloride",6,"MG",847630,"IV SOLUTIONS WITH ELECTROLYTES","TN102"
"sulbactam",500,"MG",1659595,"PENICILLINS,AMINO DERIVATIVES","AM111"
"ampicillin",1000,"MG",1659595,"PENICILLINS,AMINO DERIVATIVES","AM111"
"sodium acetate",0.027,"MEQ",801112,"IV SOLUTIONS WITH ELECTROLYTES","TN102"
"sodium gluconate",5.02,"MG",801112,"IV SOLUTIONS WITH ELECTROLYTES","TN102"
"magnesium chloride",0.00148,"MEQ",801112,"IV SOLUTIONS WITH ELECTROLYTES","TN102"
"potassium chloride",0.00497,"MEQ",801112,"IV SOLUTIONS WITH ELECTROLYTES","TN102"
"sodium chloride",0.0899,"MEQ",801112,"IV SOLUTIONS WITH ELECTROLYTES","TN102"
"levothyroxine",0.112,"MG",966183,"THYROID SUPPLEMENTS","HS851"
"vitamin K1",10,"MG",1433511,"PHYTONADIONE","VT702"
"glucose",50,"MG",1795252,"IV SOLUTIONS WITH ELECTROLYTES","TN102"
"sodium chloride",4.5,"MG",1795252,"IV SOLUTIONS WITH ELECTROLYTES","TN102"
"glucose",50,"MG",1794905,"IV SOLUTIONS WITH ELECTROLYTES","TN102"
"sodium chloride",2.25,"MG",1794905,"IV SOLUTIONS WITH ELECTROLYTES","TN102"
"sodium phosphate, monobasic",276,"MG",1872443,"PHOSPHORUS","TN475"
"sodium phosphate, dibasic",142,"MG",1872443,"PHOSPHORUS","TN475"
"doxycycline",100,"MG",544840,"TETRACYCLINES","AM250"
"epinephrine",0.01,"MG",1010755,"LOCAL ANESTHETICS,INJECTION","CN204"
"lidocaine",10,"MG",1010755,"LOCAL ANESTHETICS,INJECTION","CN204"
"carvedilol",3.125,"MG",686926,"BETA BLOCKERS/RELATED","CV100"
"carvedilol",6.25,"MG",212388,"BETA BLOCKERS/RELATED","CV100"
"sodium bicarbonate",650,"MG",198861,"SODIUM BICARBONATE CONTAINING ANTACIDS","GA110"
"ketorolac",30,"MG",860098,"NONSALICYLATE NSAIs,ANTIRHEUMATIC","MS102"
"polymyxin B",250000,"UNT",150654,"IRRIGATION SOLUTIONS","IR100"
"bacitracin",5000,"UNT",209704,"ANTI-INFECTIVES,OTHER","AM900"
"lipase",20880,"UNT",1247381,"DIGESTANTS","GA500"
"amylase",78300,"UNT",1247381,"DIGESTANTS","GA500"
"protease",78300,"UNT",1247381,"DIGESTANTS","GA500"
"losartan",25,"MG",979487,"ANGIOTENSIN II INHIBITOR","CV805"
"methocarbamol",100,"MG",207014,"SKELETAL MUSCLE RELAXANTS","MS200"
"bisoprolol",5,"MG",854907,"BETA BLOCKERS/RELATED","CV100"
"fosinopril",20,"MG",857185,NA,NA
"nebivolol",10,"MG",751616,"BETA BLOCKERS/RELATED","CV100"
"nebivolol",5,"MG",751623,"BETA BLOCKERS/RELATED","CV100"
"bumetanide",2,"MG",205490,"LOOP DIURETICS","CV702"
"furosemide",20,"MG",200801,"LOOP DIURETICS","CV702"
"furosemide",40,"MG",200809,"LOOP DIURETICS","CV702"
"protamine sulfate (USP)",10,"MG",1796676,"HEPARIN ANTAGONISTS","BL118"
"isoproterenol",0.2,"MG",1667911,"SYMPATHOMIMETICS (ADRENERGICS)","AU100"
"pentamidine",300,"MG",861604,"ANTI-INFECTIVES,OTHER","AM900"
"sodium chloride",4.5,"MG",1807551,"PHARMACEUTICAL AIDS/REAGENTS","PH000"
"sodium chloride",4.5,"MG",1807551,"IV SOLUTIONS WITHOUT ELECTROLYTES","TN101"
"sodium chloride",4.5,"MG",1807551,"IV SOLUTIONS WITH ELECTROLYTES","TN102"
"sodium chloride",4.5,"MG",1807551,"SODIUM","TN440"
"calcium chloride",0.33,"MG",847621,"IRRIGATION SOLUTIONS","IR100"
"potassium chloride",0.3,"MG",847621,"IRRIGATION SOLUTIONS","IR100"
"sodium chloride",8.6,"MG",847621,"IRRIGATION SOLUTIONS","IR100"
"bumetanide",1,"MG",205489,"LOOP DIURETICS","CV702"
"quetiapine",200,"MG",153640,"ANTIPSYCHOTICS,OTHER","CN709"
"quetiapine",100,"MG",153639,"ANTIPSYCHOTICS,OTHER","CN709"
"gabapentin",100,"MG",105028,"ANTICONVULSANTS","CN400"
"remdesivir",100,"MG",2395502,"ANTIVIRALS","AM800"
"gabapentin",300,"MG",105029,"ANTICONVULSANTS","CN400"
"neomycin",40,"MG",314124,"IRRIGATION SOLUTIONS","IR100"
"polymyxin B",2e+05,"UNT",314124,"IRRIGATION SOLUTIONS","IR100"
"threonine",7.49,"MG",800588,"IV SOLUTIONS WITHOUT ELECTROLYTES","TN101"
"threonine",7.49,"MG",800588,"AMINO ACIDS/PROTEINS,PARENTERAL,WITHOUT ADDED ELECTROLYTES","TN501"
"tryptophan",2.5,"MG",800588,"IV SOLUTIONS WITHOUT ELECTROLYTES","TN101"
"tryptophan",2.5,"MG",800588,"AMINO ACIDS/PROTEINS,PARENTERAL,WITHOUT ADDED ELECTROLYTES","TN501"
"arginine",14.7,"MG",800588,"IV SOLUTIONS WITHOUT ELECTROLYTES","TN101"
"arginine",14.7,"MG",800588,"AMINO ACIDS/PROTEINS,PARENTERAL,WITHOUT ADDED ELECTROLYTES","TN501"
"tyrosine",0.39,"MG",800588,"IV SOLUTIONS WITHOUT ELECTROLYTES","TN101"
"tyrosine",0.39,"MG",800588,"AMINO ACIDS/PROTEINS,PARENTERAL,WITHOUT ADDED ELECTROLYTES","TN501"
"valine",9.6,"MG",800588,"IV SOLUTIONS WITHOUT ELECTROLYTES","TN101"
"valine",9.6,"MG",800588,"AMINO ACIDS/PROTEINS,PARENTERAL,WITHOUT ADDED ELECTROLYTES","TN501"
"aspartate",4.34,"MG",800588,"IV SOLUTIONS WITHOUT ELECTROLYTES","TN101"
"aspartate",4.34,"MG",800588,"AMINO ACIDS/PROTEINS,PARENTERAL,WITHOUT ADDED ELECTROLYTES","TN501"
"alanine",21.7,"MG",800588,"IV SOLUTIONS WITHOUT ELECTROLYTES","TN101"
"alanine",21.7,"MG",800588,"AMINO ACIDS/PROTEINS,PARENTERAL,WITHOUT ADDED ELECTROLYTES","TN501"
"glycine",10.4,"MG",800588,"IV SOLUTIONS WITHOUT ELECTROLYTES","TN101"
"glycine",10.4,"MG",800588,"AMINO ACIDS/PROTEINS,PARENTERAL,WITHOUT ADDED ELECTROLYTES","TN501"
"histidine",8.94,"MG",800588,"IV SOLUTIONS WITHOUT ELECTROLYTES","TN101"
"histidine",8.94,"MG",800588,"AMINO ACIDS/PROTEINS,PARENTERAL,WITHOUT ADDED ELECTROLYTES","TN501"
"isoleucine",7.49,"MG",800588,"IV SOLUTIONS WITHOUT ELECTROLYTES","TN101"
"isoleucine",7.49,"MG",800588,"AMINO ACIDS/PROTEINS,PARENTERAL,WITHOUT ADDED ELECTROLYTES","TN501"
"leucine",10.4,"MG",800588,"IV SOLUTIONS WITHOUT ELECTROLYTES","TN101"
"leucine",10.4,"MG",800588,"AMINO ACIDS/PROTEINS,PARENTERAL,WITHOUT ADDED ELECTROLYTES","TN501"
"lysine",11.8,"MG",800588,"IV SOLUTIONS WITHOUT ELECTROLYTES","TN101"
"lysine",11.8,"MG",800588,"AMINO ACIDS/PROTEINS,PARENTERAL,WITHOUT ADDED ELECTROLYTES","TN501"
"methionine",7.49,"MG",800588,"IV SOLUTIONS WITHOUT ELECTROLYTES","TN101"
"methionine",7.49,"MG",800588,"AMINO ACIDS/PROTEINS,PARENTERAL,WITHOUT ADDED ELECTROLYTES","TN501"
"glutamate",7.49,"MG",800588,"IV SOLUTIONS WITHOUT ELECTROLYTES","TN101"
"glutamate",7.49,"MG",800588,"AMINO ACIDS/PROTEINS,PARENTERAL,WITHOUT ADDED ELECTROLYTES","TN501"
"phenylalanine",10.4,"MG",800588,"IV SOLUTIONS WITHOUT ELECTROLYTES","TN101"
"phenylalanine",10.4,"MG",800588,"AMINO ACIDS/PROTEINS,PARENTERAL,WITHOUT ADDED ELECTROLYTES","TN501"
"proline",8.94,"MG",800588,"IV SOLUTIONS WITHOUT ELECTROLYTES","TN101"
"proline",8.94,"MG",800588,"AMINO ACIDS/PROTEINS,PARENTERAL,WITHOUT ADDED ELECTROLYTES","TN501"
"serine",5.92,"MG",800588,"IV SOLUTIONS WITHOUT ELECTROLYTES","TN101"
"serine",5.92,"MG",800588,"AMINO ACIDS/PROTEINS,PARENTERAL,WITHOUT ADDED ELECTROLYTES","TN501"
"dexamethasone",4,"MG",205712,"GLUCOCORTICOIDS","HS051"
"ropinirole",0.5,"MG",213068,"ANTIPARKINSON AGENTS","CN500"
"ropinirole",1,"MG",152953,"ANTIPARKINSON AGENTS","CN500"
"methylprednisolone",62.5,"MG",207193,"GLUCOCORTICOIDS","HS051"
"soybean oil",200,"MG",1799886,NA,NA
"fluconazole",2,"MG",1721314,"ANTIFUNGALS","AM700"
"sodium acetate",2,"MEQ",237371,"SODIUM","TN440"
"duloxetine",30,"MG",596932,"ANTIDEPRESSANTS,OTHER","CN609"
"duloxetine",60,"MG",615186,"ANTIDEPRESSANTS,OTHER","CN609"
"meropenem",1000,"MG",1722941,"BETA-LACTAMS ANTIMICROBIALS,OTHER","AM119"
"povidone-iodine",100,"MG",1544187,"ANTIBACTERIAL,TOPICAL","DE101"
"bumetanide",0.25,"MG",205486,"LOOP DIURETICS","CV702"
"acyclovir",50,"MG",213721,"ANTIVIRALS","AM800"
"carvedilol",12.5,"MG",212389,"BETA BLOCKERS/RELATED","CV100"
"carvedilol",25,"MG",212390,"BETA BLOCKERS/RELATED","CV100"
"bupivacaine",5,"MG",108777,"LOCAL ANESTHETICS,INJECTION","CN204"
"hydromorphone",1,"MG",897655,"OPIOID ANALGESICS","CN101"
"warfarin",2.5,"MG",855314,"ANTICOAGULANTS","BL110"
"warfarin",1,"MG",855294,"ANTICOAGULANTS","BL110"
"prednisone",5,"MG",206955,"GLUCOCORTICOIDS","HS051"
"prednisone",2.5,"MG",206837,"GLUCOCORTICOIDS","HS051"
"rasburicase",1.5,"MG",1790347,"ANTINEOPLASTIC,OTHER","AN900"
"amiodarone",50,"MG",833535,"ANTIARRHYTHMICS","CV300"
"chromic chloride",0.0513,"MG",262197,"ELECTROLYTES/MINERALS,OTHER","TN499"
"copper sulfate",3.93,"MG",262197,NA,NA
"manganese sulfate",1.54,"MG",262197,NA,NA
"selenious acid",0.098,"MG",262197,NA,NA
"zinc sulfate",22,"MG",262197,"ZINC","TN450"
"levofloxacin",5,"MG",1665516,"QUINOLONES","AM400"
"micafungin",100,"MG",861385,"ANTIFUNGALS","AM700"
"metoprolol",25,"MG",866429,"BETA BLOCKERS/RELATED","CV100"
"metoprolol",50,"MG",866438,"BETA BLOCKERS/RELATED","CV100"
"tacrolimus",1,"MG",108513,"IMMUNE SUPPRESSANTS","IM600"
"tacrolimus",0.5,"MG",261134,"IMMUNE SUPPRESSANTS","IM600"
"mycophenolic acid",360,"MG",616449,"IMMUNE SUPPRESSANTS","IM600"
"mycophenolic acid",180,"MG",616450,"IMMUNE SUPPRESSANTS","IM600"
"methylprednisolone",40,"MG",1358612,"GLUCOCORTICOIDS","HS051"
"trazodone",50,"MG",856379,NA,NA
"trazodone",100,"MG",856375,NA,NA
"ampicillin",250,"MG",1044196,"PENICILLINS,AMINO DERIVATIVES","AM111"
"warfarin",4,"MG",855330,"ANTICOAGULANTS","BL110"
"warfarin",3,"MG",855322,"ANTICOAGULANTS","BL110"
"flecainide",100,"MG",886668,"ANTIARRHYTHMICS","CV300"
"flecainide",50,"MG",886664,"ANTIARRHYTHMICS","CV300"
"warfarin",6,"MG",855342,"ANTICOAGULANTS","BL110"
"lamotrigine",100,"MG",2003796,"ANTICONVULSANTS","CN400"
"lamotrigine",25,"MG",2001508,"ANTICONVULSANTS","CN400"
"ciprofloxacin",500,"MG",205770,"QUINOLONES","AM400"
"ciprofloxacin",250,"MG",205769,"QUINOLONES","AM400"
"epinephrine",0.01,"MG",1010763,"LOCAL ANESTHETICS,INJECTION","CN204"
"lidocaine",20,"MG",1010763,"LOCAL ANESTHETICS,INJECTION","CN204"
"prednisone",20,"MG",206997,"GLUCOCORTICOIDS","HS051"
"acetaminophen",32,"MG",1113675,"NON-OPIOID ANALGESICS","CN103"
"potassium acetate",2,"MEQ",237381,"POTASSIUM","TN430"
"chromic chloride",0.004,"MG",204401,"ELECTROLYTES/MINERALS,OTHER","TN499"
"zinc chloride",1,"MG",237508,"ZINC","TN450"
"valproate",500,"MG",1099871,"ANTICONVULSANTS","CN400"
"valproate",100,"MG",1099650,"ANTICONVULSANTS","CN400"
"valproate",250,"MG",1099679,"ANTICONVULSANTS","CN400"
"pregabalin",25,"MG",607026,"CNS MEDICATIONS,OTHER","CN900"
"pregabalin",75,"MG",607038,"CNS MEDICATIONS,OTHER","CN900"
