RXCUI,DrugName,Type,Class,Group
310809,hydrochlorothiazide 25 MG / quinapril 20 MG Oral Tablet,SCD,quinapril,ACEI
312748,quinapril 10 MG Oral Tablet,SCD,quinapril,ACEI
312749,quinapril 20 MG Oral Tablet,SCD,quinapril,ACEI
312750,quinapril 5 MG Oral Tablet,SCD,quinapril,ACEI
314203,quinapril 40 MG Oral Tablet,SCD,quinapril,ACEI
316616,quinapril 10 MG,SCDC,quinapril,ACEI
316617,quinapril 20 MG,SCDC,quinapril,ACEI
316618,quinapril 40 MG,SCDC,quinapril,ACEI
316619,quinapril 5 MG,SCDC,quinapril,ACEI
373731,quinapril Oral Tablet,SCDF,quinapril,ACEI
373732,hydrochlorothiazide / quinapril Oral Tablet,SCDF,quinapril,ACEI
1157876,quinapril Oral Product,SCDG,quinapril,ACEI
1157877,quinapril Pill,SCDG,quinapril,ACEI
1162779,hydrochlorothiazide / quinapril Oral Product,SCDG,quinapril,ACEI
1162780,hydrochlorothiazide / quinapril Pill,SCDG,quinapril,ACEI
1998,captopril,IN,captopril,ACEI
214357,captopril / hydrochlorothiazide,MIN,captopril,ACEI
104370,captopril 25 MG / hydrochlorothiazide 12.5 MG Oral Tablet,SCD,captopril,ACEI
197436,captopril 25 MG / hydrochlorothiazide 15 MG Oral Tablet,SCD,captopril,ACEI
197437,captopril 25 MG / hydrochlorothiazide 25 MG Oral Tablet,SCD,captopril,ACEI
197438,captopril 50 MG / hydrochlorothiazide 15 MG Oral Tablet,SCD,captopril,ACEI
197439,captopril 50 MG / hydrochlorothiazide 25 MG Oral Tablet,SCD,captopril,ACEI
308962,captopril 100 MG Oral Tablet,SCD,captopril,ACEI
308963,captopril 12.5 MG Oral Tablet,SCD,captopril,ACEI
308964,captopril 50 MG Oral Tablet,SCD,captopril,ACEI
317173,captopril 25 MG Oral Tablet,SCD,captopril,ACEI
