"rxnorm_cui","raw_rx_med_name"
108776,"BETAMETHASONE/BUPIVACAINE INJ MIXTURE AMB|BUPIVACAINE HCL 0.25 % (2.5 MG/ML) IJ SOLN"
1010740,"RXAMB DIPH/LIDO/ANTACID 1:1:1 SUSPENSION (MIXTURE COMPOUND)|LIDOCAINE HCL 2 % MM SOLN"
210024,"RXAMB DIPH/LIDO/ANTACID 1:1:1 SUSPENSION (MIXTURE COMPOUND)|ALUM-MAG HYDROXIDE-SIMETH 200-200-20 MG/5 ML PO SUSP"
1094218,"RXAMB DIPH/LIDO/ANTACID 1:1:1 SUSPENSION (MIXTURE COMPOUND)|DIPHENHYDRAMINE HCL 12.5 MG/5 ML PO LIQD"
402244,"ZZ - BORTEZOMIB 2.5 MG/ML SC SYRINGE|BORTEZOMIB 3.5 MG IJ SOLR (VELCADE BRAND)"
313002,"ZZ - BORTEZOMIB 2.5 MG/ML SC SYRINGE|SODIUM CHLORIDE 0.9 % IJ SOLN"
313002,"FLUOROURACIL IV AMB PUMP|SODIUM CHLORIDE 0.9 % IV SOLP"
309778,"OXALIPLATIN IVPB|DEXTROSE 5% IN WATER IV SOLP"
213841,"FLUOROURACIL IV AMB PUMP|FLUOROURACIL 5 GRAM/100 ML IV SOLN"
1736782,"OXALIPLATIN IVPB|OXALIPLATIN 100 MG/20 ML IV SOLN"
2463118,"BAMLANIVIMAB IVPB|BAMLANIVIMAB 700 MG/20 ML (35 MG/ML) IV SOLN"
313002,"BAMLANIVIMAB IVPB|SODIUM CHLORIDE 0.9 % IV SOLP"
237788,"LEUCOVORIN IVPB|LEUCOVORIN CALCIUM 350 MG IJ SOLR"
309778,"LEUCOVORIN IVPB|DEXTROSE 5% IN WATER IV SOLP"
1490656,"ACETAMINOPHEN/DIPHENHYDRAMINE 500/25 MG|DIPHENHYDRAMINE HCL 25 MG PO CAP"
1731082,"FOSAPREPITANT 150MG/150ML NS IVPB|FOSAPREPITANT 150 MG IV SOLR"
150995,"NS WITH POTASSIUM CHLOR 20 MEQ, MAG SULF 2 G/L IV INFUSION|POTASSIUM CHLORIDE 2 MEQ/ML IV SOLN"
686161,"CARBOPLATIN IVPB (BY AUC-GOG)|CARBOPLATIN 10 MG/ML IV SOLN"
207322,"PACLITAXEL 500ML IVPB|PACLITAXEL 6 MG/ML IV CONC"
1658236,"NS WITH POTASSIUM CHLOR 20 MEQ, MAG SULF 2 G/L IV INFUSION|MAGNESIUM SULFATE 4 MEQ/ML (50 %) IJ SOLN"
313002,"PACLITAXEL 500ML IVPB|SODIUM CHLORIDE 0.9 % IV SOLP"
313002,"CARBOPLATIN IVPB (BY AUC-GOG)|SODIUM CHLORIDE 0.9 % IV SOLP"
313002,"NS WITH POTASSIUM CHLOR 20 MEQ, MAG SULF 2 G/L IV INFUSION|SODIUM CHLORIDE 0.9 % IV SOLP"
313002,"FOSAPREPITANT 150MG/150ML NS IVPB|SODIUM CHLORIDE 0.9 % IV SOLP"
1538142,"VEDOLIZUMAB IVPB|VEDOLIZUMAB 300 MG IV SOLR"
313002,"VEDOLIZUMAB IVPB|SODIUM CHLORIDE 0.9 % IV SOLP"
108776,"BUPIVACAINE 0.25% 10 ML SW 10 ML (OR)|BUPIVACAINE (PF) 0.25 % (2.5 MG/ML) IJ SOLN"
1736778,"OXALIPLATIN IVPB|OXALIPLATIN 50 MG/10 ML (5 MG/ML) IV SOLN"
209440,"ACETAMINOPHEN/DIPHENHYDRAMINE 500/25 MG|ACETAMINOPHEN 500 MG PO TAB"
2273517,"RITUXIMAB-PVVR IVPB|RITUXIMAB-PVVR 10 MG/ML IV SOLN"
313002,"RITUXIMAB-PVVR IVPB|SODIUM CHLORIDE 0.9 % IV SOLP"
1655960,"METHOTREXATE   /SOD BICARB IVPB|METHOTREXATE SODIUM (PF) 25 MG/ML IJ SOLN"
1868486,"SODIUM BICARBONATE 1MEQ/ML IVPB|SODIUM BICARBONATE 1 MEQ/ML (8.4 %) IV SOLN"
1868486,"DEXTROSE 5% WITH SODIUM BICARB IV INFUSION|SODIUM BICARBONATE 1 MEQ/ML (8.4 %) IV SOLN"
1868486,"METHOTREXATE   /SOD BICARB IVPB|SODIUM BICARBONATE 1 MEQ/ML (8.4 %) IV SOLN"
309778,"METHOTREXATE   /SOD BICARB IVPB|DEXTROSE 5% IN WATER IV SOLP"
309778,"DEXTROSE 5% WITH SODIUM BICARB IV INFUSION|DEXTROSE 5% IN WATER IV SOLP"
313002,"AMPICILLIN/SULBACTAM 3G/100ML NS IVPB (MB+)|SODIUM CHLORIDE 0.9 % IV PGBK (MB+)"
1659600,"AMPICILLIN/SULBACTAM 3G/100ML NS IVPB (MB+)|AMPICILLIN-SULBACTAM 3 GRAM IJ SOLR"
207322,"PACLITAXEL 250ML IVPB (RATE RAMP UP)|PACLITAXEL 6 MG/ML IV CONC"
1086045,"TRIAMCINOLONE/BUPIVACAINE INJ MIXTURE AMB|TRIAMCINOLONE ACETONIDE 40 MG/ML IJ SUSP"
108776,"TRIAMCINOLONE/BUPIVACAINE INJ MIXTURE AMB|BUPIVACAINE HCL 0.25 % (2.5 MG/ML) IJ SOLN"
313002,"BCG VACCINE (LIVE) BLADDER IRRIGATION SYR|SODIUM CHLORIDE 0.9 % IV SOLP"
1741268,"IRON SUCROSE 300 MG IVPB|IRON SUCROSE 100 MG IRON/5 ML IV SOLN"
313002,"GENTAMICIN IVPB (CONVENTIONAL)|SODIUM CHLORIDE 0.9 % IV SOLP"
313996,"GENTAMICIN IVPB (CONVENTIONAL)|GENTAMICIN 40 MG/ML IJ SOLN"
2550903,"SOTROVIMAB IVPB|SOTROVIMAB 500 MG/8 ML (62.5 MG/ML) IV SOLN"
313002,"SOTROVIMAB IVPB|SODIUM CHLORIDE 0.9 % IV SOLP"
429503,"LISINOPRIL-HYDROCHLOROTHIAZIDE 20-12.5 MG TAB|HYDROCHLOROTHIAZIDE 12.5 MG PO TAB"
2221,"RXAMB NALTREXONE 6 MG CAPSULE (BATCHED COMPOUND)|CELLULOSE (BULK) MISC POWD"
7243,"RXAMB NALTREXONE 6 MG CAPSULE (BATCHED COMPOUND)|NALTREXONE HCL (BULK) 100 % MISC POWD"
429503,"LOSARTAN-HYDROCHLOROTHIAZIDE 100-12.5 MG TAB|HYDROCHLOROTHIAZIDE 12.5 MG PO TAB"
979494,"LOSARTAN-HYDROCHLOROTHIAZIDE 100-12.5 MG TAB|LOSARTAN 50 MG PO TAB"
2465255,"CASIRIVIMAB-IMDEVIMAB IVPB|IMDEVIMAB (REGN10987) 120 MG/ML IV SOLN"
2465246,"CASIRIVIMAB-IMDEVIMAB IVPB|CASIRIVIMAB (REGN10933) 120 MG/ML IV SOLN"
313002,"CASIRIVIMAB-IMDEVIMAB IVPB|SODIUM CHLORIDE 0.9 % IV SOLP"
313002,"CEFOXITIN IVPB|SODIUM CHLORIDE 0.9 % IV SOLP"
309072,"CEFOXITIN IVPB|CEFOXITIN 10 GRAM IV SOLR"
1309389,"RXAMB AMITR-GABAPEN-EMU OIL 4-4-10% TOPICAL CREAM (COMPOUND)|EMU OIL (BULK) MISC OIL"
7243,"RXAMB NALTREXONE 3 MG ORAL CAPSULE (BATCHED COMPOUND)|NALTREXONE HCL (BULK) 100 % MISC POWD"
2221,"RXAMB NALTREXONE 3 MG ORAL CAPSULE (BATCHED COMPOUND)|CELLULOSE (BULK) MISC POWD"
25480,"RXAMB AMITRIPTYLINE-GABAPENTIN-BACLOFEN 2-6-2% TOPICAL CREAM (COMPOUND)|GABAPENTIN (BULK) 100 % MISC POWD"
704,"RXAMB AMITRIPTYLINE-GABAPENTIN-BACLOFEN 2-6-2% TOPICAL CREAM (COMPOUND)|AMITRIPTYLINE (BULK) MISC POWD"
2586590,"RXAMB AMITRIPTYLINE-GABAPENTIN-BACLOFEN 2-6-2% TOPICAL CREAM (COMPOUND)|BACLOFEN (BULK) 100 % MISC POWD"
313002,"VANCOMYCIN 1,250 MG IVPB|SODIUM CHLORIDE 0.9 % IV SOLP"
313572,"VANCOMYCIN 1,250 MG IVPB|VANCOMYCIN 5 GRAM IV SOLR"
2105831,"RITUXIMAB-ABBS IVPB|RITUXIMAB-ABBS 10 MG/ML IV SOLN"
313002,"RITUXIMAB-ABBS IVPB|SODIUM CHLORIDE 0.9 % IV SOLP"
313002,"CISPLATIN IVPB|SODIUM CHLORIDE 0.9 % IV SOLP"
205821,"CISPLATIN IVPB|CISPLATIN 1 MG/ML IV SOLN"
1734484,"ROPIVACAINE 0.5% 30ML/EPINEPHRINE 0.075MG INJECTION (OR)|ROPIVACAINE (PF) 5 MG/ML (0.5 %) IJ SOLN"
205871,"ROPIVACAINE 0.5% 30ML/EPINEPHRINE 0.075MG INJECTION (OR)|EPINEPHRINE HCL (PF) 1 MG/ML (1 ML) IJ SOLN"
205871,"EPINEPHRINE 16MCG/ML IN D5W IV DRIP (STD CONC)|EPINEPHRINE 1 MG/ML IJ SOLN"
309778,"EPINEPHRINE 16MCG/ML IN D5W IV DRIP (STD CONC)|DEXTROSE 5% IN WATER IV SOLP"
309778,"VANCOMYCIN IVPB|DEXTROSE 5% IN WATER IV SOLP"
313002,"BENDAMUSTINE (BENDEKA) IVPB|SODIUM CHLORIDE 0.9 % IV SOLP"
2622914,"BENDAMUSTINE (BENDEKA) IVPB|BENDAMUSTINE 25 MG/ML IV SOLN"
1431647,"GOLIMUMAB IVPB|GOLIMUMAB 12.5 MG/ML IV SOLN"
429503,"LISINOPRIL-HYDROCHLOROTHIAZIDE 10-12.5 MG TAB|HYDROCHLOROTHIAZIDE 12.5 MG PO TAB"
313002,"GOLIMUMAB IVPB|SODIUM CHLORIDE 0.9 % IV SOLP"
201381,"LISINOPRIL-HYDROCHLOROTHIAZIDE 10-12.5 MG TAB|LISINOPRIL 10 MG PO TAB"
209217,"NOREPINEPHRINE 16 MCG/ML IN D5W IV DRIP (STD CONC)|NOREPINEPHRINE BITARTRATE 1 MG/ML IV SOLN"
309778,"NOREPINEPHRINE 16 MCG/ML IN D5W IV DRIP (STD CONC)|DEXTROSE 5% IN WATER IV SOLP"
212542,"AMLODIPINE-LISINOPRIL 2.5-10 MG TAB|AMLODIPINE 2.5 MG PO TAB"
201381,"AMLODIPINE-LISINOPRIL 2.5-10 MG TAB|LISINOPRIL 10 MG PO TAB"
1735058,"BUPIVACAINE 0.75% 1.6ML/FENTANYL 10MCG INJ (OR)|FENTANYL CITRATE (PF) 50 MCG/ML IJ SOLN"
1724794,"BUPIVACAINE 0.75% 1.6ML/FENTANYL 10MCG INJ (OR)|BUPIVACAINE (PF) 0.75 % (7.5 MG/ML) IJ SOLN"
1657864,"RITUXIMAB IVPB (SPEC VOL)|RITUXIMAB 10 MG/ML IV CONC"
313002,"RITUXIMAB IVPB (SPEC VOL)|SODIUM CHLORIDE 0.9 % IV SOLP"
206216,"IRON DEXTRAN IVPB|IRON DEXTRAN 100 MG/2 ML (50 MG/ML) IJ SOLN"
309696,"DEXAMETHASONE IVPB|DEXAMETHASONE SODIUM PHOSPHATE 10 MG/ML IJ SOLN"
313002,"DEXAMETHASONE IVPB|SODIUM CHLORIDE 0.9 % IV SOLP"
541815,"IMS MIXTURE TEMPLATE|PREDNISONE 10 MG PO TAB"
207048,"IMS MIXTURE TEMPLATE|PREDNISONE 50 MG PO TAB"
1791229,"DILTIAZEM 125MG/125ML NS IV DRIP|DILTIAZEM HCL 5 MG/ML IV SOLN"
313002,"DILTIAZEM 125MG/125ML NS IV DRIP|SODIUM CHLORIDE 0.9 % IV SOLP"
1734686,"ERTAPENEM 1G/100ML NS IVPB (VIAL2BAG)|ERTAPENEM 1 GRAM IJ SOLR"
313002,"ERTAPENEM 1G/100ML NS IVPB (VIAL2BAG)|SODIUM CHLORIDE 0.9 % IV SOLP"
1046410,"AMIODARONE IN DEXTROSE,ISO-OSM 360 MG/200 ML (1.8 MG/ML) IV SOLN (INFUSION)(AM)(OR)|AMIODARONE IN DEXTROSE,ISO-OSM 360 MG/200 ML (1.8 MG/ML) IV SOLN"
1535226,"DEXMEDETOMIDINE IV DRIP IN NS (STD CONC)|DEXMEDETOMIDINE 100 MCG/ML IV SOLN"
313002,"DEXMEDETOMIDINE IV DRIP IN NS (STD CONC)|SODIUM CHLORIDE 0.9 % IV SOLP"
312004,"NITROGLYCERIN 200MCG SYRINGE (OR)(OSM)|NITROGLYCERIN IN 5 % DEXTROSE 50 MG/250 ML (200 MCG/ML) IV SOLN"
616392,"EPINEPHRINE 0.1MG NS 10ML SYR (AM)(OR)|EPINEPHRINE 1 MG/ML (1 ML) IJ SOLN"
313002,"EPINEPHRINE 0.1MG NS 10ML SYR (AM)(OR)|SODIUM CHLORIDE 0.9 % IV SOLP"
309778,"NITROGLYCERIN 200MCG SYRINGE (OR)(OSM)|DEXTROSE 5% IN WATER IV SOLP"
745302,"PENICILLIN G SODIUM IVPB|PENICILLIN G SODIUM 5 MILLION UNIT IJ SOLR"
309778,"PENICILLIN G SODIUM IVPB|DEXTROSE 5% IN WATER IV SOLP"
205871,"BUPIVACAINE 0.5% 30ML/EPINEPHRINE 0.075MG INJECTION (OR)|EPINEPHRINE HCL (PF) 1 MG/ML (1 ML) IJ SOLN"
106545,"BUPIVACAINE 0.5% 30ML/EPINEPHRINE 0.075MG INJECTION (OR)|BUPIVACAINE HCL 0.5 % (5 MG/ML) IJ SOLN"
578806,"BETAMETHASONE/ROPIVACAINE INJ MIXTURE AMB|BETAMETHASONE ACET,SOD PHOS 6 MG/ML IJ SUSP"
1734356,"BETAMETHASONE/ROPIVACAINE INJ MIXTURE AMB|ROPIVACAINE (PF) 2 MG/ML (0.2 %) IJ SOLN"
212549,"AMLODIPINE-BENAZEPRIL 5-20 MG TAB|AMLODIPINE 5 MG PO TAB"
898689,"AMLODIPINE-BENAZEPRIL 5-20 MG TAB|BENAZEPRIL 10 MG PO TAB"
7243,"RXAMB NALTREXONE 1 MG ORAL CAPSULE (BATCHED COMPOUND)|NALTREXONE HCL (BULK) 100 % MISC POWD"
429503,"VALSARTAN-HYDROCHLOROTHIAZIDE 160-12.5 MG TAB|HYDROCHLOROTHIAZIDE 12.5 MG PO TAB"
351762,"VALSARTAN-HYDROCHLOROTHIAZIDE 160-12.5 MG TAB|VALSARTAN 160 MG PO TAB"
1657864,"RITUXIMAB (RITUXAN) IVPB (FOR 30-MIN RAPID INFUSION)|RITUXIMAB 10 MG/ML IV CONC"
313002,"PIPERACILLIN/TAZOBACTAM 4.5 G/100ML NS IVPB (MB+)|SODIUM CHLORIDE 0.9 % IV PGBK (MB+)"
1659151,"PIPERACILLIN/TAZOBACTAM 4.5 G/100ML NS IVPB (MB+)|PIPERACILLIN-TAZOBACTAM 4.5 GRAM IV SOLR"
313002,"VASOPRESSIN 20 UNITS/20ML SYR (1 UNIT/ML) (AN) (OSM)|SODIUM CHLORIDE 0.9 % IV SOLP"
2221,"RXAMB NALTREXONE 1 MG ORAL CAPSULE (BATCHED COMPOUND)|CELLULOSE (BULK) MISC POWD"
1718910,"DEXMEDETOMIDINE 4 MCG/ML (INFUSION)(AM)(OR) 100ML|DEXMEDETOMIDINE IN 0.9 % NACL 400 MCG/100 ML (4 MCG/ML) IV SOLN"
313002,"RITUXIMAB (RITUXAN) IVPB (FOR 30-MIN RAPID INFUSION)|SODIUM CHLORIDE 0.9 % IV SOLP"
208841,"VASOPRESSIN 20 UNITS/20ML SYR (1 UNIT/ML) (AN) (OSM)|VASOPRESSIN 20 UNIT/ML IV SOLN"
309987,"DOBUTAMINE IN D5W 1,000 MG/250 ML (4,000 MCG/ML) IV SOLP (INFUSION)(AM)(OR)|DOBUTAMINE IN D5W 1,000 MG/250 ML (4,000 MCG/ML) IV SOLP"
313002,"NICARDIPINE 2.5 MG IN 10 ML NS (AM)(OR)|SODIUM CHLORIDE 0.9 % IJ SOLN"
208104,"TRANEXAMIC ACID 1G/250ML NS INFUSION|TRANEXAMIC ACID 1,000 MG/10 ML (100 MG/ML) IV SOLN"
858609,"NICARDIPINE 2.5 MG IN 10 ML NS (AM)(OR)|NICARDIPINE 25 MG/10 ML IV SOLN"
42512,"DOXORUBICIN/IOHEXOL/DRUG ELUTING BEADS (LC LUMI 40-90) EMBOLIZATION|DOXORUBICIN 200 MG IV SOLR (MG)"
104897,"ONDANSETRON/DEXAMETHASONE IVPB|ONDANSETRON HCL (PF) 4 MG/2 ML IJ SOLN"
5956,"DOXORUBICIN/IOHEXOL/DRUG ELUTING BEADS (LC LUMI 40-90) EMBOLIZATION|IOHEXOL 350 MG IODINE/ML IV SOLN"
313002,"ONDANSETRON/DEXAMETHASONE IVPB|SODIUM CHLORIDE 0.9 % IV SOLP"
309696,"ONDANSETRON/DEXAMETHASONE IVPB|DEXAMETHASONE SODIUM PHOSPHATE 10 MG/ML IJ SOLN"
313002,"TRANEXAMIC ACID 1G/250ML NS INFUSION|SODIUM CHLORIDE 0.9 % IV SOLP"
313002,"CYCLOPHOSPHAMIDE IVPB|SODIUM CHLORIDE 0.9 % IV SOLP"
313002,"RITUXIMAB-PVVR IVPB (SPEC VOL)|SODIUM CHLORIDE 0.9 % IV SOLP"
313002,"VINCRISTINE IVPB|SODIUM CHLORIDE 0.9 % IV SOLP"
